Name,rate,risk,risk_pct
삼성전자,0.092179,11600.0,0.162011
SK하이닉스,0.206148,97500.0,0.352622
LG에너지솔루션,-0.111675,63000.0,0.159898
삼성바이오로직스,-0.012585,70000.0,0.067764
한화에어로스페이스,0.166478,237000.0,0.268403
삼성전자우,0.079038,8100.0,0.139175
KB금융,0.045053,15700.0,0.138693
HD현대중공업,0.060797,104500.0,0.219078
현대차,-0.006897,10000.0,0.045977
기아,-0.026037,7400.0,0.07136
두산에너빌리티,-0.064122,15700.0,0.239695
셀트리온,-0.037714,9600.0,0.054857
NAVER,0.040089,28500.0,0.126949
한화오션,0.060038,24700.0,0.231707
신한지주,0.011577,7500.0,0.108538
삼성물산,0.177547,43200.0,0.263575
삼성생명,0.207782,41600.0,0.323735
HD한국조선해양,0.099075,104500.0,0.27609
현대모비스,0.048904,37000.0,0.124789
카카오,-0.029503,10400.0,0.161491
SK스퀘어,0.395268,76100.0,0.529576
하나금융지주,0.042874,11400.0,0.132097
알테오젠,0.08238,99500.0,0.227689
HMM,0.063348,3200.0,0.144796
한국전력,-0.054054,6850.0,0.176319
현대로템,0.176962,56000.0,0.31163
POSCO홀딩스,-0.073171,40250.0,0.130894
메리츠금융지주,0.017384,15500.0,0.128311
HD현대일렉트릭,0.206154,174500.0,0.357949
삼성화재,0.018141,44500.0,0.100907
LG화학,0.033628,38000.0,0.134513
고려아연,0.255266,333000.0,0.412639
우리금융지주,0.02947,2950.0,0.115914
삼성중공업,0.140815,4590.0,0.242986
SK이노베이션,-0.025665,10700.0,0.098075
KT&G,0.023186,10500.0,0.078534
SK,0.218465,64600.0,0.346753
삼성SDI,-0.089286,32200.0,0.14375
기업은행,0.018499,1270.0,0.065262
크래프톤,0.012678,34500.0,0.10935
삼성전기,0.181427,42100.0,0.258918
현대글로비스,0.040609,25300.0,0.142696
KT,-0.084381,5700.0,0.102334
효성중공업,0.131687,376000.0,0.309465
HD현대,0.202974,41500.0,0.30855
삼성에스디에스,0.083223,26200.0,0.173052
LG전자,0.009067,6800.0,0.088083
미래에셋증권,0.169591,6550.0,0.348219
하이브,0.0194,34000.0,0.119929
에코프로비엠,-0.123199,27100.0,0.195245
SK텔레콤,-0.012478,2400.0,0.042781
삼양식품,0.143478,328000.0,0.237681
포스코퓨처엠,-0.181985,36800.0,0.22549
LG,0.006693,6500.0,0.087015
카카오뱅크,-0.078799,3150.0,0.118199
LIG넥스원,0.021739,74000.0,0.146245
한국항공우주,0.265127,33700.0,0.370737
한화시스템,0.056881,11950.0,0.219266
두산,0.106306,191000.0,0.344144
DB손해보험,0.098526,21300.0,0.165244
HD현대마린솔루션,0.072154,46200.0,0.234756
유한양행,0.015734,13100.0,0.11451
LS ELECTRIC,-0.011401,67000.0,0.218241
포스코인터내셔널,0.012195,7350.0,0.14939
대한항공,-0.046185,2450.0,0.098394
한미반도체,-0.021505,12800.0,0.137634
한국금융지주,0.122909,40500.0,0.294545
SK바이오팜,0.067594,16400.0,0.163022
에이피알,0.009368,37500.0,0.175644
HD현대미포,0.045789,44000.0,0.231579
한진칼,-0.02347,14000.0,0.117351
카카오페이,-0.177542,18600.0,0.282246
NH투자증권,0.059979,3460.0,0.178904
아모레퍼시픽,0.009788,8000.0,0.065253
코웨이,-0.048664,14200.0,0.135496
키움증권,0.261283,81000.0,0.384798
한화,0.095352,22800.0,0.271752
에코프로,-0.151024,11100.0,0.18942
펩트론,-0.181047,84000.0,0.237624
LG씨엔에스,-0.036011,8600.0,0.119114
삼성증권,0.082849,10800.0,0.156977
S-Oil,-0.039216,4600.0,0.075163
현대건설,-0.092476,11150.0,0.174765
LG디스플레이,0.084175,1790.0,0.150673
파마리서치,-0.095029,103500.0,0.151316
LG유플러스,-0.015426,1940.0,0.130114
삼성카드,0.049407,4800.0,0.094862
LS,0.132931,44900.0,0.271299
현대차2우B,-0.00295,8400.0,0.049558
넷마블,0.154499,11700.0,0.198642
CJ,0.370934,59400.0,0.411073
이수페타시스,0.256911,25800.0,0.419512
레인보우로보틱스,0.045872,59500.0,0.218349
맥쿼리인프라,-0.017109,280.0,0.023952
삼성E&A,-0.003552,2800.0,0.099467
에이비엘바이오,0.143021,29100.0,0.332952
리가켐바이오,-0.058861,20900.0,0.133717
두산밥캣,-0.0373,5300.0,0.094139
엔씨소프트,0.142857,54500.0,0.259524
한화솔루션,-0.001667,4200.0,0.14
